Employee_ID,Salary,Years_Experience,Education_Level,Performance_Rating,Team
422,93408,18,Bachelor,3.8,D
232,89499,14,Bachelor,4.5,C
235,102269,18,Masters,4.8,D
256,88559,10,Masters,4.3,A
335,98787,2,PhD,3.5,C
385,85488,1,Bachelor,4.3,A
309,72431,4,PhD,3.6,D
290,111681,14,Masters,4.4,D
210,113483,1,Bachelor,4.9,A
498,99153,14,Bachelor,4.4,B
195,56368,16,Masters,4.7,C
184,77424,14,Masters,3.0,D
141,95004,3,Masters,4.4,D
303,106985,3,Masters,4.7,C
171,100069,9,Masters,3.1,A
361,102326,6,Bachelor,4.7,A
221,73398,13,Masters,3.5,A
482,100861,2,Bachelor,4.3,B
216,118577,8,Bachelor,4.6,B
183,115641,2,Masters,4.3,D
462,59078,4,Masters,3.2,A
319,75003,15,Bachelor,4.2,C
386,112768,4,Masters,4.1,D
273,101047,13,Masters,4.8,C
153,107660,12,Masters,3.8,D
371,99786,13,PhD,3.6,B
306,51925,14,Bachelor,4.5,D
458,76015,18,PhD,3.8,B
325,83320,6,Masters,4.3,D
311,114881,11,PhD,4.3,A
438,76289,2,Masters,4.8,C
267,53389,19,PhD,4.2,A
143,75683,19,Masters,4.0,D
410,63629,5,PhD,3.3,D
130,111550,19,PhD,3.2,D
234,74826,2,PhD,3.3,B
379,76630,10,Bachelor,3.3,C
340,96163,2,PhD,4.3,C
476,116435,11,Bachelor,4.5,D
166,61653,18,Masters,4.1,D
236,77961,15,PhD,4.7,B
480,83662,9,Masters,5.0,A
206,106446,19,Masters,4.6,A
457,71288,9,PhD,4.4,C
501,86877,3,Bachelor,4.1,B
485,65313,9,PhD,3.9,D
433,60326,14,Masters,3.2,C
313,51560,19,Masters,3.8,B
322,76745,7,PhD,4.8,A
194,81890,16,Bachelor,4.6,B
108,70022,16,Bachelor,3.4,A
228,102579,1,Masters,3.9,B
404,78380,4,Masters,4.6,C
463,52356,4,Bachelor,3.1,A
416,70049,7,PhD,3.8,C
118,66082,8,Masters,4.7,C
324,50661,17,Bachelor,3.8,A
124,87412,5,Masters,3.2,A
304,52920,7,PhD,4.1,D
149,110315,4,Bachelor,4.7,D
135,58946,6,Masters,4.2,D
338,95500,7,PhD,3.5,C
400,66309,18,Masters,3.8,C
302,105230,5,PhD,3.9,D
384,80027,3,PhD,4.2,C
307,109321,7,Bachelor,4.5,C
101,50956,14,PhD,3.2,A
471,97908,7,Masters,4.8,A
497,75963,5,PhD,3.0,C
356,89443,5,PhD,3.7,D
119,89063,2,Bachelor,3.1,B
468,54703,6,PhD,3.8,D
469,115128,15,PhD,4.1,B
460,75849,10,Masters,4.0,D
121,81860,7,Bachelor,3.3,A
281,81585,5,Bachelor,4.3,C
282,72015,1,Bachelor,3.1,C
127,93585,13,PhD,4.5,A
185,76958,18,Bachelor,4.9,B
219,76017,13,PhD,3.7,B
178,95350,18,PhD,4.0,B
442,62201,5,Masters,3.8,A
450,79426,13,Masters,3.0,B
250,67778,4,Masters,3.8,A
395,95241,17,Masters,4.6,D
230,92229,3,Masters,4.2,D
489,98364,17,PhD,3.2,A
408,107056,11,PhD,4.7,C
294,77490,4,Bachelor,4.1,D
331,69975,2,PhD,4.7,B
289,76723,16,PhD,4.2,A
407,73279,18,Masters,4.1,B
330,61561,8,PhD,3.2,B
244,116061,3,Masters,3.3,C
440,99153,9,Bachelor,4.9,B
187,83142,6,Bachelor,3.5,C
257,76916,10,PhD,5.0,D
175,114324,10,Bachelor,4.1,A
151,94965,13,PhD,3.3,B
132,54648,17,Bachelor,3.2,A
419,85133,9,Masters,3.4,B
275,100677,17,Masters,4.9,A
291,85046,9,Masters,3.8,B
479,97064,9,Masters,3.8,B
212,119350,1,PhD,3.6,B
328,95893,2,Bachelor,3.3,B
500,111272,16,PhD,4.0,B
365,117649,1,Masters,3.3,B
353,114674,10,PhD,4.7,B
493,63760,18,Bachelor,3.7,B
308,71927,8,PhD,3.7,B
312,111367,11,Bachelor,3.9,A
390,62588,2,PhD,3.9,C
227,102233,8,Bachelor,5.0,B
420,94738,8,Bachelor,4.1,C
150,83397,17,Masters,3.2,B
251,69816,15,Bachelor,4.2,B
406,92240,17,Masters,3.3,A
